[05-Feb-2018 14:37:15 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 22
[05-Feb-2018 14:40:25 Asia/Tokyo] PHP Fatal error:  Call to a member function image() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:40:38 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'image' (T_STRING), expecting ',' or ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:41:57 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:43:42 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:45:45 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:46:05 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 14:46:07 Asia/Tokyo] PHP Fatal error:  Call to a member function link() on null in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 21
[05-Feb-2018 19:41:40 Asia/Tokyo] PHP Fatal error:  Call to undefined method App\Application::_makeRoute() in /home/ubuntu/workspace/my_app_name/vendor/cakephp/cakephp/src/Routing/RouteBuilder.php on line 718
[05-Feb-2018 21:22:03 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ''1,400円～'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 21:23:29 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 21:23:38 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 21:53:11 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<', expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 31
[05-Feb-2018 21:57:54 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ''住所'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 34
[05-Feb-2018 22:00:44 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '|', expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 32
[05-Feb-2018 22:03:29 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ''スポット名'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 32
[05-Feb-2018 22:07:49 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ''スポット名'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 32
[05-Feb-2018 22:08:02 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ''スポット名'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 32
[05-Feb-2018 22:12:07 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 32
[05-Feb-2018 22:32:54 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 22:33:03 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 22:33:05 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 22:33:12 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 22:33:18 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 22:33:34 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[05-Feb-2018 22:33:37 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/my_app_name/src/Template/Foods/view.ctp on line 30
[08-Feb-2018 23:04:13 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on null in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 62
[08-Feb-2018 23:04:53 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on null in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 62
